ngram_ids,count,smoothed_count
"(9, 93)",858,858.01
"(101, 88)",665,665.01
"(11, 4)",556,556.01
"(89, 88)",333,333.01
"(11, 34)",322,322.01
"(6, 72)",255,255.01
"(270, 4)",243,243.01
"(9, 193)",240,240.01
"(102, 88)",230,230.01
"(11, 141)",217,217.01
"(11, 232)",212,212.01
"(350, 184)",196,196.01
"(9, 34)",184,184.01
"(9, 88)",174,174.01
"(232, 117)",164,164.01
"(258, 88)",163,163.01
"(9, 147)",148,148.01
"(4, 34)",147,147.01
"(6, 73)",139,139.01
"(93, 88)",137,137.01
"(96, 88)",134,134.01
"(109, 117)",134,134.01
"(492, 574)",134,134.01
"(101, 54)",130,130.01
"(102, 114)",127,127.01
"(9, 191)",123,123.01
"(34, 181)",120,120.01
"(9, 98)",118,118.01
"(147, 54)",117,117.01
"(117, 54)",116,116.01
"(127, 34)",113,113.01
"(34, 117)",111,111.01
"(421, 4)",110,110.01
"(203, 88)",109,109.01
"(127, 88)",107,107.01
"(11, 223)",105,105.01
"(89, 54)",105,105.01
"(34, 136)",104,104.01
"(11, 297)",103,103.01
"(9, 142)",98,98.01
"(109, 11)",98,98.01
"(116, 136)",93,93.01
"(9, 4)",92,92.01
"(136, 268)",90,90.01
"(93, 34)",86,86.01
"(109, 106)",85,85.01
"(34, 167)",84,84.01
"(11, 356)",84,84.01
"(142, 88)",82,82.01
"(11, 420)",82,82.01
"(101, 166)",81,81.01
"(109, 9)",81,81.01
"(11, 317)",81,81.01
"(98, 34)",81,81.01
"(147, 88)",81,81.01
"(72, 9)",80,80.01
"(191, 34)",78,78.01
"(9, 116)",77,77.01
"(117, 88)",77,77.01
"(9, 127)",77,77.01
"(34, 213)",76,76.01
"(72, 101)",75,75.01
"(11, 26)",75,75.01
"(267, 88)",74,74.01
"(94, 88)",74,74.01
"(127, 109)",74,74.01
"(9, 54)",74,74.01
"(172, 11)",72,72.01
"(462, 416)",71,71.01
"(184, 97)",71,71.01
"(127, 116)",71,71.01
"(181, 268)",70,70.01
"(89, 135)",70,70.01
"(101, 188)",67,67.01
"(9, 149)",67,67.01
"(101, 135)",65,65.01
"(34, 6)",64,64.01
"(9, 89)",64,64.01
"(4, 232)",63,63.01
"(232, 106)",63,63.01
"(171, 101)",63,63.01
"(11, 409)",62,62.01
"(654, 9)",62,62.01
"(127, 97)",61,61.01
"(89, 6)",60,60.01
"(219, 117)",60,60.01
"(116, 160)",60,60.01
"(416, 9)",59,59.01
"(101, 109)",58,58.01
"(101, 190)",58,58.01
"(237, 88)",58,58.01
"(106, 54)",57,57.01
"(93, 54)",56,56.01
"(191, 116)",55,55.01
"(161, 101)",55,55.01
"(9, 449)",55,55.01
"(608, 11)",55,55.01
"(34, 372)",54,54.01
"(88, 300)",53,53.01
"(88, 939)",53,53.01
"(11, 436)",53,53.01
"(113, 9)",53,53.01
"(584, 88)",53,53.01
"(101, 241)",52,52.01
"(271, 54)",52,52.01
"(172, 9)",51,51.01
"(98, 54)",51,51.01
"(9, 968)",51,51.01
"(4, 654)",51,51.01
"(102, 54)",50,50.01
"(72, 11)",50,50.01
"(9, 109)",50,50.01
"(88, 720)",49,49.01
"(9, 97)",49,49.01
"(4, 409)",49,49.01
"(9, 1086)",49,49.01
"(190, 11)",48,48.01
"(508, 54)",47,47.01
"(117, 163)",47,47.01
"(11, 336)",46,46.01
"(9, 289)",46,46.01
"(11, 606)",46,46.01
"(1128, 10)",45,45.01
"(102, 113)",45,45.01
"(93, 127)",45,45.01
"(97, 117)",45,45.01
"(968, 9)",44,44.01
"(190, 9)",44,44.01
"(213, 163)",44,44.01
"(113, 11)",44,44.01
"(88, 823)",44,44.01
"(9, 102)",44,44.01
"(810, 10)",43,43.01
"(9, 292)",43,43.01
"(458, 6)",43,43.01
"(9, 104)",43,43.01
"(523, 9)",42,42.01
"(184, 34)",42,42.01
"(4, 460)",42,42.01
"(6, 105)",41,41.01
"(89, 188)",41,41.01
"(437, 88)",41,41.01
"(11, 460)",41,41.01
"(310, 9)",41,41.01
"(34, 263)",41,41.01
"(9, 101)",40,40.01
"(93, 135)",40,40.01
"(4, 297)",40,40.01
"(97, 11)",40,40.01
"(11, 668)",40,40.01
"(356, 117)",40,40.01
"(101, 172)",39,39.01
"(102, 245)",39,39.01
"(462, 523)",39,39.01
"(142, 54)",39,39.01
