ngram_ids,count,smoothed_count
"(9,)",4861,4861.01
"(88,)",4214,4214.01
"(11,)",3456,3456.01
"(101,)",2531,2531.01
"(93,)",2100,2100.01
"(54,)",2045,2045.01
"(34,)",1801,1801.01
"(102,)",1765,1765.01
"(89,)",1514,1514.01
"(4,)",1193,1193.01
"(117,)",1084,1084.01
"(127,)",1045,1045.01
"(109,)",1037,1037.01
"(72,)",912,912.01
"(6,)",709,709.01
"(116,)",689,689.01
"(98,)",686,686.01
"(10,)",673,673.01
"(147,)",655,655.01
"(135,)",645,645.01
"(191,)",645,645.01
"(136,)",641,641.01
"(97,)",572,572.01
"(188,)",571,571.01
"(106,)",567,567.01
"(96,)",561,561.01
"(134,)",554,554.01
"(166,)",534,534.01
"(114,)",512,512.01
"(142,)",507,507.01
"(181,)",502,502.01
"(103,)",439,439.01
"(90,)",431,431.01
"(113,)",424,424.01
"(270,)",414,414.01
"(99,)",411,411.01
"(172,)",410,410.01
"(258,)",406,406.01
"(160,)",396,396.01
"(73,)",395,395.01
"(104,)",372,372.01
"(163,)",346,346.01
"(203,)",335,335.01
"(290,)",333,333.01
"(94,)",329,329.01
"(193,)",329,329.01
"(132,)",329,329.01
"(129,)",328,328.01
"(241,)",321,321.01
"(232,)",313,313.01
"(78,)",307,307.01
"(171,)",299,299.01
"(184,)",297,297.01
"(213,)",288,288.01
"(141,)",281,281.01
"(350,)",281,281.01
"(149,)",274,274.01
"(218,)",274,274.01
"(95,)",271,271.01
"(69,)",270,270.01
"(155,)",265,265.01
"(237,)",253,253.01
"(190,)",249,249.01
"(310,)",246,246.01
"(201,)",243,243.01
"(66,)",243,243.01
"(91,)",241,241.01
"(252,)",237,237.01
"(153,)",235,235.01
"(416,)",228,228.01
"(204,)",227,227.01
"(58,)",226,226.01
"(219,)",225,225.01
"(128,)",224,224.01
"(130,)",224,224.01
"(421,)",221,221.01
"(161,)",213,213.01
"(268,)",212,212.01
"(55,)",208,208.01
"(197,)",207,207.01
"(100,)",196,196.01
"(56,)",194,194.01
"(126,)",192,192.01
"(263,)",189,189.01
"(462,)",189,189.01
"(281,)",189,189.01
"(71,)",188,188.01
"(167,)",179,179.01
"(108,)",178,178.01
"(272,)",178,178.01
"(26,)",177,177.01
"(223,)",177,177.01
"(60,)",177,177.01
"(267,)",176,176.01
"(65,)",175,175.01
"(144,)",174,174.01
"(214,)",171,171.01
"(349,)",169,169.01
"(254,)",169,169.01
"(68,)",168,168.01
"(300,)",166,166.01
"(297,)",164,164.01
"(111,)",163,163.01
"(118,)",158,158.01
"(288,)",158,158.01
"(286,)",157,157.01
"(492,)",157,157.01
"(62,)",157,157.01
"(523,)",157,157.01
"(195,)",155,155.01
"(220,)",153,153.01
"(107,)",153,153.01
"(112,)",152,152.01
"(67,)",152,152.01
"(179,)",150,150.01
"(280,)",150,150.01
"(44,)",150,150.01
"(59,)",149,149.01
"(271,)",148,148.01
"(319,)",147,147.01
"(292,)",146,146.01
"(372,)",145,145.01
"(57,)",142,142.01
"(240,)",141,141.01
"(289,)",139,139.01
"(25,)",138,138.01
"(555,)",138,138.01
"(574,)",137,137.01
"(302,)",137,137.01
"(371,)",136,136.01
"(3,)",135,135.01
"(245,)",133,133.01
"(239,)",132,132.01
"(383,)",130,130.01
"(442,)",129,129.01
"(313,)",128,128.01
"(226,)",128,128.01
"(353,)",128,128.01
"(409,)",126,126.01
"(225,)",120,120.01
"(348,)",120,120.01
"(123,)",117,117.01
"(138,)",117,117.01
"(317,)",116,116.01
"(581,)",113,113.01
"(356,)",111,111.01
"(363,)",111,111.01
"(420,)",111,111.01
"(343,)",110,110.01
"(75,)",110,110.01
"(131,)",109,109.01
"(315,)",107,107.01
"(573,)",106,106.01
"(154,)",106,106.01
"(508,)",106,106.01
"(198,)",105,105.01
"(293,)",105,105.01
"(404,)",104,104.01
"(333,)",104,104.01
"(255,)",104,104.01
"(74,)",104,104.01
"(24,)",103,103.01
"(28,)",103,103.01
"(230,)",102,102.01
"(489,)",101,101.01
"(426,)",101,101.01
"(468,)",99,99.01
"(437,)",98,98.01
"(274,)",98,98.01
"(234,)",98,98.01
"(227,)",98,98.01
"(303,)",97,97.01
"(306,)",96,96.01
"(470,)",96,96.01
"(304,)",96,96.01
"(87,)",95,95.01
"(231,)",95,95.01
"(30,)",95,95.01
"(422,)",95,95.01
"(369,)",94,94.01
"(158,)",94,94.01
"(41,)",93,93.01
"(119,)",92,92.01
"(346,)",92,92.01
"(61,)",92,92.01
"(330,)",92,92.01
"(406,)",92,92.01
"(307,)",92,92.01
"(339,)",91,91.01
"(460,)",91,91.01
"(247,)",91,91.01
"(150,)",90,90.01
"(509,)",90,90.01
"(382,)",90,90.01
"(296,)",90,90.01
"(176,)",90,90.01
"(446,)",89,89.01
"(519,)",89,89.01
"(377,)",89,89.01
"(177,)",89,89.01
"(451,)",89,89.01
"(365,)",88,88.01
"(399,)",88,88.01
"(105,)",86,86.01
"(229,)",85,85.01
"(584,)",84,84.01
"(145,)",83,83.01
"(133,)",82,82.01
"(45,)",82,82.01
"(388,)",81,81.01
"(210,)",81,81.01
"(394,)",81,81.01
"(335,)",81,81.01
"(347,)",80,80.01
"(398,)",80,80.01
"(784,)",80,80.01
"(502,)",80,80.01
"(495,)",79,79.01
"(464,)",78,78.01
"(264,)",78,78.01
"(622,)",77,77.01
"(407,)",76,76.01
"(211,)",76,76.01
"(38,)",76,76.01
"(380,)",75,75.01
"(436,)",75,75.01
"(528,)",75,75.01
"(475,)",74,74.01
"(178,)",74,74.01
"(554,)",74,74.01
"(381,)",74,74.01
"(397,)",74,74.01
"(379,)",74,74.01
"(787,)",73,73.01
"(423,)",73,73.01
"(64,)",73,73.01
"(183,)",73,73.01
"(547,)",73,73.01
"(577,)",73,73.01
"(390,)",73,73.01
"(200,)",72,72.01
"(654,)",72,72.01
"(143,)",72,72.01
"(187,)",72,72.01
"(29,)",72,72.01
"(376,)",72,72.01
"(497,)",71,71.01
"(243,)",71,71.01
"(139,)",71,71.01
"(440,)",69,69.01
"(939,)",68,68.01
"(374,)",68,68.01
"(344,)",68,68.01
"(605,)",68,68.01
"(33,)",68,68.01
"(560,)",68,68.01
"(392,)",68,68.01
"(596,)",68,68.01
"(251,)",67,67.01
"(341,)",67,67.01
"(483,)",67,67.01
"(598,)",67,67.01
