vocab_size,n,k,validation_perplexity,tolkien_validation_perplexity,doyle_validation_perplexity
3000,2,0.01,2418.317831635589,1979.8331058845756,3244.3500873867083
1500,2,0.01,2538.211737508526,2021.7515399231318,3545.2188281408994
1500,2,0.1,2898.664317227271,2253.7303871565673,4194.973780835815
1000,2,0.1,2932.7906916686616,2291.4698925617345,4213.910400039004
1000,2,0.01,3053.9520367239334,2429.483523724363,4273.488870238415
3000,2,0.1,3467.4694134360307,2734.3938117935027,4914.951470067744
500,2,0.1,4227.161929335394,3290.2880236143897,6107.64428480899
500,2,0.01,5218.544464704818,4105.899613060864,7421.801172020932
1000,2,0.5,5536.873309465297,4194.074654539528,8326.083663263882
500,2,0.5,5755.78165114936,4372.270895194714,8619.303325184497
1500,2,0.5,6054.555084919732,4528.095462001767,9276.685672279182
500,3,0.01,6888.905730588263,5539.874968937872,9487.905098842471
3000,2,0.5,7398.139225108869,5622.689425041753,11070.542953290327
500,2,1.0,7943.879933291974,5940.298890700575,12173.852797695754
1000,2,1.0,8527.786551145195,6346.529848216332,13160.740275810022
1000,3,0.01,9323.20687844202,7517.253524190721,12791.011924760025
1500,2,1.0,9324.532521726525,6833.826615347631,14718.301476967934
500,3,0.1,9449.76603675182,7320.567414809036,13749.077496395837
3000,2,1.0,10954.972772614909,8207.78068909948,16740.73976200062
1500,3,0.01,11409.53190972378,9075.720915464393,15967.784157017892
3000,3,0.01,15316.114612386136,12016.602421344647,21873.034599787683
1000,3,0.1,16340.34756746671,12525.41294221162,24146.810509403345
1500,3,0.1,19958.94052620038,15090.680952611421,30094.62997108286
3000,3,0.1,24905.966567830234,19023.085723284064,36998.420692693435
500,3,0.5,25482.707364117006,18789.98227958078,39865.101345152405
1000,3,0.5,35461.16897668655,26123.672526350045,55550.4148763084
1500,3,0.5,37302.733275270155,27210.866003466654,59287.14050578353
3000,3,0.5,39421.4246857206,29691.1679513556,59778.646457692776
500,3,1.0,41305.9691083641,29884.561195642604,66446.5952506856
3000,3,1.0,47103.06856603379,35344.45161542962,71820.20937694993
1500,3,1.0,47928.214035475416,34533.93961712027,77564.7491063516
1000,3,1.0,49009.89923243372,35613.85901862868,78334.18872367003
