ngram_ids,count,smoothed_count
"(9, 93)",1545,1545.01
"(11, 85)",836,836.01
"(101, 88)",809,809.01
"(89, 88)",530,530.01
"(102, 88)",321,321.01
"(11, 141)",313,313.01
"(11, 223)",304,304.01
"(93, 88)",287,287.01
"(84, 72)",282,282.01
"(94, 88)",246,246.01
"(9, 193)",234,234.01
"(24, 93)",230,230.01
"(11, 336)",206,206.01
"(308, 184)",198,198.01
"(84, 73)",197,197.01
"(329, 85)",175,175.01
"(109, 117)",174,174.01
"(97, 117)",172,172.01
"(88, 357)",171,171.01
"(11, 232)",171,171.01
"(203, 88)",170,170.01
"(97, 136)",167,167.01
"(96, 88)",164,164.01
"(11, 317)",160,160.01
"(93, 97)",156,156.01
"(267, 88)",143,143.01
"(153, 160)",142,142.01
"(153, 136)",141,141.01
"(85, 34)",140,140.01
"(244, 184)",135,135.01
"(11, 34)",133,133.01
"(24, 193)",128,128.01
"(117, 54)",128,128.01
"(11, 356)",128,128.01
"(89, 54)",128,128.01
"(132, 88)",128,128.01
"(97, 213)",127,127.01
"(9, 98)",124,124.01
"(9, 104)",122,122.01
"(9, 85)",119,119.01
"(93, 153)",118,118.01
"(97, 184)",116,116.01
"(385, 163)",114,114.01
"(102, 114)",113,113.01
"(9, 214)",111,111.01
"(88, 535)",111,111.01
"(142, 88)",110,110.01
"(136, 268)",108,108.01
"(101, 135)",108,108.01
"(161, 101)",105,105.01
"(9, 88)",104,104.01
"(147, 54)",102,102.01
"(213, 163)",100,100.01
"(88, 496)",100,100.01
"(9, 142)",100,100.01
"(34, 167)",98,98.01
"(232, 117)",97,97.01
"(219, 117)",97,97.01
"(72, 9)",95,95.01
"(197, 11)",93,93.01
"(101, 54)",91,91.01
"(244, 97)",91,91.01
"(190, 11)",90,90.01
"(9, 97)",90,90.01
"(9, 34)",90,90.01
"(458, 84)",90,90.01
"(147, 88)",89,89.01
"(11, 436)",89,89.01
"(98, 97)",87,87.01
"(9, 292)",87,87.01
"(109, 9)",87,87.01
"(142, 54)",86,86.01
"(153, 213)",85,85.01
"(89, 135)",85,85.01
"(109, 11)",85,85.01
"(101, 190)",84,84.01
"(93, 54)",84,84.01
"(127, 97)",81,81.01
"(117, 163)",81,81.01
"(308, 97)",80,80.01
"(237, 88)",80,80.01
"(190, 9)",78,78.01
"(244, 85)",74,74.01
"(197, 9)",74,74.01
"(109, 106)",74,74.01
"(72, 93)",72,72.01
"(11, 236)",71,71.01
"(34, 181)",71,71.01
"(88, 549)",69,69.01
"(9, 521)",69,69.01
"(96, 132)",69,69.01
"(608, 11)",68,68.01
"(88, 480)",68,68.01
"(697, 102)",67,67.01
"(23, 85)",66,66.01
"(11, 420)",66,66.01
"(93, 404)",65,65.01
"(184, 236)",64,64.01
"(11, 26)",64,64.01
"(11, 433)",63,63.01
"(72, 101)",63,63.01
"(9, 289)",63,63.01
"(11, 698)",63,63.01
"(98, 153)",62,62.01
"(127, 88)",62,62.01
"(93, 219)",62,62.01
"(101, 204)",61,61.01
"(54, 300)",61,61.01
"(88, 737)",61,61.01
"(214, 134)",60,60.01
"(236, 9)",59,59.01
"(127, 153)",59,59.01
"(292, 97)",59,59.01
"(9, 153)",59,59.01
"(136, 163)",58,58.01
"(11, 606)",58,58.01
"(9, 54)",58,58.01
"(223, 117)",58,58.01
"(88, 604)",58,58.01
