ngram_ids,count,smoothed_count
"(88,)",5668,5668.01
"(9,)",5254,5254.01
"(93,)",4367,4367.01
"(11,)",4278,4278.01
"(101,)",2481,2481.01
"(102,)",2128,2128.01
"(54,)",2004,2004.01
"(97,)",1595,1595.01
"(89,)",1520,1520.01
"(85,)",1403,1403.01
"(117,)",1398,1398.01
"(153,)",1118,1118.01
"(72,)",1057,1057.01
"(109,)",1047,1047.01
"(127,)",975,975.01
"(136,)",952,952.01
"(135,)",883,883.01
"(34,)",877,877.01
"(94,)",838,838.01
"(142,)",741,741.01
"(134,)",737,737.01
"(163,)",695,695.01
"(160,)",694,694.01
"(98,)",687,687.01
"(96,)",687,687.01
"(10,)",668,668.01
"(147,)",640,640.01
"(132,)",640,640.01
"(103,)",623,623.01
"(24,)",615,615.01
"(84,)",614,614.01
"(184,)",583,583.01
"(236,)",555,555.01
"(190,)",541,541.01
"(106,)",531,531.01
"(244,)",519,519.01
"(204,)",502,502.01
"(3,)",494,494.01
"(193,)",463,463.01
"(114,)",458,458.01
"(197,)",452,452.01
"(141,)",447,447.01
"(181,)",439,439.01
"(73,)",420,420.01
"(99,)",419,419.01
"(104,)",407,407.01
"(203,)",397,397.01
"(161,)",393,393.01
"(155,)",382,382.01
"(213,)",380,380.01
"(223,)",375,375.01
"(219,)",367,367.01
"(308,)",350,350.01
"(201,)",345,345.01
"(329,)",314,314.01
"(254,)",313,313.01
"(171,)",302,302.01
"(129,)",300,300.01
"(128,)",300,300.01
"(116,)",285,285.01
"(357,)",282,282.01
"(82,)",281,281.01
"(237,)",281,281.01
"(214,)",275,275.01
"(296,)",257,257.01
"(386,)",251,251.01
"(336,)",249,249.01
"(252,)",249,249.01
"(232,)",247,247.01
"(267,)",245,245.01
"(292,)",241,241.01
"(240,)",236,236.01
"(271,)",236,236.01
"(272,)",236,236.01
"(227,)",235,235.01
"(149,)",233,233.01
"(108,)",232,232.01
"(315,)",231,231.01
"(286,)",222,222.01
"(293,)",221,221.01
"(55,)",221,221.01
"(317,)",220,220.01
"(95,)",219,219.01
"(288,)",215,215.01
"(313,)",214,214.01
"(339,)",213,213.01
"(91,)",213,213.01
"(241,)",212,212.01
"(281,)",209,209.01
"(268,)",207,207.01
"(188,)",200,200.01
"(218,)",196,196.01
"(302,)",195,195.01
"(113,)",194,194.01
"(385,)",192,192.01
"(78,)",192,192.01
"(332,)",188,188.01
"(300,)",188,188.01
"(319,)",187,187.01
"(471,)",187,187.01
"(333,)",183,183.01
"(376,)",182,182.01
"(225,)",179,179.01
"(245,)",178,178.01
"(484,)",176,176.01
"(226,)",175,175.01
"(191,)",174,174.01
"(90,)",173,173.01
"(65,)",171,171.01
"(496,)",171,171.01
"(356,)",171,171.01
"(167,)",170,170.01
"(429,)",169,169.01
"(144,)",167,167.01
"(23,)",167,167.01
"(220,)",167,167.01
"(388,)",167,167.01
"(183,)",167,167.01
"(351,)",167,167.01
"(397,)",166,166.01
"(377,)",165,165.01
"(394,)",163,163.01
"(382,)",162,162.01
"(166,)",162,162.01
"(58,)",161,161.01
"(353,)",158,158.01
"(390,)",157,157.01
"(433,)",156,156.01
"(67,)",156,156.01
"(230,)",155,155.01
"(59,)",154,154.01
"(69,)",153,153.01
"(71,)",152,152.01
"(380,)",150,150.01
"(348,)",150,150.01
"(263,)",150,150.01
"(413,)",146,146.01
"(549,)",146,146.01
"(66,)",145,145.01
"(415,)",143,143.01
"(25,)",142,142.01
"(57,)",141,141.01
"(396,)",140,140.01
"(179,)",140,140.01
"(282,)",139,139.01
"(389,)",137,137.01
"(172,)",137,137.01
"(436,)",135,135.01
"(344,)",134,134.01
"(404,)",133,133.01
"(480,)",132,132.01
"(453,)",132,132.01
"(26,)",130,130.01
"(488,)",130,130.01
"(535,)",129,129.01
"(445,)",127,127.01
"(422,)",126,126.01
"(352,)",125,125.01
"(330,)",125,125.01
"(289,)",123,123.01
"(449,)",121,121.01
"(7,)",120,120.01
"(6,)",120,120.01
"(407,)",119,119.01
"(493,)",116,116.01
"(426,)",115,115.01
"(506,)",114,114.01
"(443,)",114,114.01
"(256,)",113,113.01
"(438,)",112,112.01
"(437,)",112,112.01
"(475,)",111,111.01
"(579,)",111,111.01
"(503,)",111,111.01
"(483,)",110,110.01
"(521,)",109,109.01
"(383,)",108,108.01
"(451,)",106,106.01
"(409,)",105,105.01
"(303,)",105,105.01
"(698,)",104,104.01
"(381,)",103,103.01
"(590,)",103,103.01
"(556,)",102,102.01
"(44,)",102,102.01
"(595,)",102,102.01
"(570,)",102,102.01
"(297,)",102,102.01
"(371,)",101,101.01
"(440,)",101,101.01
"(112,)",100,100.01
"(460,)",100,100.01
"(458,)",99,99.01
"(105,)",99,99.01
"(497,)",99,99.01
"(664,)",99,99.01
"(548,)",98,98.01
"(406,)",98,98.01
"(87,)",98,98.01
"(432,)",98,98.01
"(539,)",98,98.01
"(100,)",97,97.01
"(616,)",96,96.01
"(76,)",96,96.01
"(118,)",96,96.01
"(111,)",95,95.01
"(545,)",95,95.01
"(636,)",94,94.01
"(56,)",94,94.01
"(446,)",93,93.01
"(27,)",93,93.01
"(495,)",92,92.01
"(61,)",92,92.01
"(553,)",92,92.01
"(60,)",92,92.01
"(658,)",92,92.01
"(420,)",92,92.01
"(533,)",90,90.01
"(198,)",90,90.01
"(778,)",89,89.01
"(457,)",89,89.01
"(45,)",89,89.01
"(464,)",88,88.01
"(468,)",88,88.01
"(558,)",87,87.01
"(604,)",87,87.01
"(107,)",87,87.01
"(255,)",87,87.01
"(399,)",86,86.01
"(798,)",86,86.01
"(524,)",85,85.01
"(502,)",85,85.01
"(431,)",85,85.01
"(378,)",84,84.01
"(667,)",84,84.01
"(697,)",83,83.01
"(130,)",83,83.01
"(824,)",82,82.01
"(307,)",81,81.01
"(640,)",80,80.01
"(528,)",79,79.01
"(748,)",79,79.01
"(68,)",78,78.01
"(737,)",77,77.01
"(442,)",77,77.01
"(195,)",76,76.01
"(261,)",76,76.01
"(637,)",75,75.01
"(31,)",74,74.01
"(875,)",74,74.01
"(62,)",74,74.01
"(489,)",73,73.01
"(509,)",73,73.01
"(33,)",73,73.01
"(369,)",73,73.01
"(702,)",73,73.01
"(738,)",72,72.01
"(691,)",72,72.01
"(444,)",72,72.01
"(606,)",72,72.01
"(794,)",71,71.01
"(519,)",70,70.01
"(589,)",70,70.01
"(40,)",70,70.01
"(423,)",70,70.01
"(304,)",70,70.01
"(683,)",70,70.01
"(685,)",70,70.01
"(913,)",69,69.01
"(554,)",69,69.01
"(123,)",69,69.01
"(552,)",69,69.01
"(917,)",69,69.01
"(216,)",69,69.01
"(608,)",69,69.01
"(582,)",68,68.01
"(734,)",68,68.01
"(775,)",68,68.01
"(647,)",67,67.01
"(30,)",67,67.01
"(727,)",66,66.01
"(705,)",66,66.01
"(837,)",66,66.01
"(690,)",66,66.01
"(597,)",66,66.01
"(177,)",65,65.01
"(372,)",65,65.01
"(310,)",64,64.01
"(761,)",64,64.01
"(29,)",64,64.01
"(981,)",64,64.01
"(896,)",64,64.01
"(577,)",63,63.01
"(131,)",63,63.01
"(866,)",63,63.01
"(38,)",63,63.01
"(602,)",62,62.01
"(598,)",62,62.01
"(258,)",62,62.01
"(1008,)",62,62.01
"(786,)",62,62.01
"(596,)",61,61.01
"(706,)",61,61.01
"(354,)",61,61.01
"(686,)",61,61.01
"(768,)",61,61.01
"(665,)",60,60.01
"(630,)",60,60.01
"(678,)",60,60.01
"(708,)",60,60.01
"(239,)",60,60.01
"(676,)",60,60.01
"(890,)",60,60.01
"(1045,)",59,59.01
"(802,)",59,59.01
"(605,)",59,59.01
"(176,)",59,59.01
"(841,)",59,59.01
"(508,)",58,58.01
"(854,)",58,58.01
"(668,)",58,58.01
"(48,)",58,58.01
"(626,)",58,58.01
"(1054,)",57,57.01
"(791,)",57,57.01
"(642,)",57,57.01
"(452,)",57,57.01
"(728,)",57,57.01
"(759,)",56,56.01
